"denuncia_numero","hecho_fecha_hora","hecho_provincia","hecho_municipio","hecho_localidad","hecho_discriminacion","hecho_irregularidades","hecho_lugar","hecho_cometido_por","hecho_tipo_violencia","hecho_accion_realizada","denuncia_estado","denuncia_fecha_cambio_estado","denuncia_via_ingreso","denuncia_fecha_hora_carga","hecho_provincia_id"
356,"2012-06-30 02:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por indumentaria","","En el acceso local","Controladores","","","Derivado","2012-07-03","Call Center","2012-07-02 19:04:00","02"
357,"2012-05-07 11:00:00","Ciudad Autónoma de Buenos Aires","Barrio Villa Urquiza","","","El personal de control no esta identificado","","","","","Derivado","2012-07-05","Página web de RENCAP ","2012-07-05 11:37:00","02"
358,"2012-05-07 00:20:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Recoleta","","El personal de control no esta identificado","En el interior del local - En el acceso local","Controladores - Personas vinculadas a la empresa","Agresión verbal - Agresión física","Se solicitó asistencia policial","Derivado","2012-07-06","Página web de RENCAP ","2012-07-06 12:57:00","02"
359,"2012-07-07 18:00:00","Buenos Aires","Morón","Haedo","Por aspecto físico - Por indumentaria","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","","","","","Derivado","2012-07-10","Página web de RENCAP ","2012-07-07 21:26:00","06"
360,"2012-01-07 02:30:00","Ciudad Autónoma de Buenos Aires","Barrio Villa del Parque","","Por aspecto físico","","En el acceso local","","","","Derivado","2012-07-10","Página web de RENCAP ","2012-07-07 22:12:00","02"
361,"2012-07-07 02:00:00","Ciudad Autónoma de Buenos Aires","Barrio San Nicolás","","","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia - Hay mas personas que las permitidas por la habilitación - Presencia de menores","","","","","Derivado","2012-07-10","Página web de RENCAP ","2012-07-08 20:41:00","02"
362,"2012-07-07 03:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Por indumentaria","No exhibe condiciones de adminsión y permanencia - Hay mas personas que las permitidas por la habilitación - Presencia de menores","En el interior del local","","Agresión verbal - Agresión física","","Derivado","2012-07-10","Página web de RENCAP ","2012-07-09 23:22:00","02"
363,"2012-07-07 03:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","Hay mas personas que las permitidas por la habilitación - Presencia de menores","","","","","Derivado","2012-07-10","Página web de RENCAP ","2012-07-09 23:35:00","02"
364,"2012-07-09 04:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","","En el interior del local - En el acceso local","Controladores","Agresión física","","Derivado","2012-07-11","Call Center","2012-07-10 16:30:00","02"
365,"2012-07-07 03:00:00","Buenos Aires","San Nicolás de Los Arroyos","","Por orientacion sexual","","En el acceso local","Personas vinculadas a la empresa","Agresión verbal - Agresión física","","Derivado","2012-07-11","Página web de RENCAP ","2012-07-10 19:40:00","06"
366,"2012-07-07 04:00:00","Buenos Aires","San Nicolás de Los Arroyos","","Por orientacion sexual","","En el acceso local","Personas vinculadas a la empresa","Agresión verbal","","Derivado","2012-07-11","Página web de RENCAP ","2012-07-10 19:44:00","06"
367,"2012-07-06 00:00:00","Buenos Aires","Junín","Junín","","","En el acceso local","Controladores","","","Derivado","2012-07-11","Call Center","2012-07-11 12:39:00","06"
368,"2012-07-08 06:00:00","Buenos Aires","Vicente López","","","","En el acceso local","Controladores","Agresión física","","Derivado","2012-07-12","Call Center","2012-07-12 11:08:00","06"
369,"2012-07-08 04:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","","En el interior del local","Personas vinculadas a la empresa","Agresión física","","Derivado","2012-07-16","Call Center","2012-07-16 14:01:00","02"
370,"2012-07-15 06:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","No exhibe nomina de personal de control habilitado","En el interior del local - En el acceso local","Personal de empresas de seguridad","Agresión física","","Derivado","2012-07-16","Call Center","2012-07-16 14:56:00","02"
371,"2012-07-18 00:30:00","Ciudad Autónoma de Buenos Aires","Barrio Saavedra","","Por aspecto físico","Presencia de menores","En el acceso local","Controladores","","","Desestimado","2012-08-02","Call Center","2012-07-18 13:46:00","02"
372,"2012-07-15 03:00:00","Buenos Aires","Salto","Salto","","","En el interior del local","Controladores","Agresión física","Se solicitó asistencia policial - Se hizo denuncia policial","Derivado","2012-07-23","Call Center","2012-07-19 11:05:00","06"
373,"2012-07-13 03:00:00","Córdoba","Villa María","","Racial","","En el acceso local","Controladores","","","Derivado","2012-07-23","Call Center","2012-07-19 13:19:00","14"
374,"2012-07-20 01:10:00","Ciudad Autónoma de Buenos Aires","Barrio Belgrano","","Por aspecto físico","No exhibe condiciones de adminsión y permanencia - Presencia de menores","En el acceso local","","","","Derivado","2012-08-02","Página web de RENCAP ","2012-07-20 15:08:00","02"
375,"2012-07-21 04:00:00","Buenos Aires","General Pueyrredón","Mar del Plata","","","En el interior del local","Controladores","Agresión verbal","","Derivado","2012-07-24","Call Center","2012-07-23 11:19:00","06"
376,"2012-07-20 06:00:00","Ciudad Autónoma de Buenos Aires","Barrio Retiro","","","","En el interior del local - En el acceso local","Controladores - Personas vinculadas a la empresa","Agresión verbal - Agresión física","Se solicitó asistencia policial - Se hizo denuncia policial","Derivado","2012-07-26","Call Center","2012-07-25 15:35:00","02"
377,"2012-07-21 05:00:00","Buenos Aires","Villa Gesell","Villa Gesell","","","En el interior del local","Controladores","Agresión física","Se hizo denuncia policial","Derivado","2012-07-27","Call Center","2012-07-26 13:44:00","06"
378,"2012-07-15 04:15:00","Buenos Aires","Salto","Salto","","","En el interior del local - En las proximidades del local","Controladores - Personas vinculadas a la empresa","Agresión física","Se solicitó asistencia policial - Se hizo denuncia policial","Desestimado","2012-08-02","Página web de RENCAP ","2012-07-26 23:40:00","06"
379,"2012-04-08 04:26:00","Buenos Aires","Quilmes","Quilmes Oeste","","El personal de control no esta identificado","En el interior del local","Personal de empresas de seguridad - Personas vinculadas a la empresa - Policias","Agresión verbal - Agresión física","Se solicitó asistencia policial","Derivado","2012-08-06","Página web de RENCAP ","2012-08-04 19:31:00","06"
380,"2012-04-08 01:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico","No exhibe nomina de personal de control habilitado","En el acceso local","Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión verbal","","Derivado","2012-08-14","Página web de RENCAP ","2012-08-06 14:00:00","02"
381,"2012-05-08 02:18:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Racial","No exhibe condiciones de adminsión y permanencia","","","","","Derivado","2012-08-09","Página web de RENCAP ","2012-08-07 13:26:00","02"
382,"2012-04-08 01:12:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el acceso local","Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa","","","Desestimado","2012-08-27","Página web de RENCAP ","2012-08-08 20:11:00","02"
383,"2012-07-28 01:00:00","Santa Fe","Santa Fe","Santa Fe","Por aspecto físico","","En el acceso local","Controladores","","","Derivado","2012-08-17","Call Center","2012-08-16 14:02:00","82"
384,"2012-08-10 08:00:00","Buenos Aires","San Isidro","San Isidro","Por aspecto físico","","En el acceso local","Controladores","Agresión verbal","","Derivado","2012-08-24","Call Center","2012-08-22 13:07:00","06"
385,"2012-08-18 01:30:00","Buenos Aires","Bahía Blanca","Bahía Blanca","Por aspecto físico - Racial","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el acceso local","Controladores - Personas vinculadas a la empresa","Agresión verbal","","Derivado","2012-08-28","Call Center","2012-08-22 19:26:00","06"
386,"2012-08-26 03:30:00","Buenos Aires","La Matanza","Ramos Mejía","","","En el interior del local - En el acceso local","Controladores","Agresión física","","Derivado","2012-08-28","Call Center","2012-08-27 12:26:00","06"
387,"2012-08-27 02:00:00","Buenos Aires","Moreno","Moreno","Por orientacion sexual","","En el interior del local","Controladores","Agresión verbal - Agresión física","","Derivado","2012-08-28","Call Center","2012-08-27 16:26:00","06"
388,"2012-08-26 02:30:00","Buenos Aires","Lomas de Zamora","Lomas de Zamora","Por aspecto físico","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","En el acceso local","Personal de empresas de seguridad","","","Derivado","2012-08-28","Página web de RENCAP ","2012-08-27 20:41:00","06"
389,"2012-08-26 02:45:00","Buenos Aires","Lomas de Zamora","Lomas de Zamora","Por aspecto físico","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el acceso local","Personal de empresas de seguridad - Personas vinculadas a la empresa","","","Derivado","2012-08-28","Página web de RENCAP ","2012-08-27 20:48:00","06"
390,"2012-04-08 03:00:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Palermo","","","En el acceso local","Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión verbal - Agresión física","","Derivado","2012-08-31","Página web de RENCAP ","2012-08-28 07:25:00","02"
391,"2012-04-08 00:12:00","Ciudad Autónoma de Buenos Aires","Barrio Liniers","","","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia - Hay mas personas que las permitidas por la habilitación","","","Agresión verbal - Agresión física","","Desestimado","2012-09-27","Página web de RENCAP ","2012-08-30 17:05:00","02"
392,"2012-04-08 02:40:00","Buenos Aires","San Miguel","Bella Vista","","El personal de control no esta identificado","En el interior del local - En el acceso local - En las proximidades del local","Personas vinculadas a la empresa","Agresión verbal","Se solicitó asistencia policial","Desestimado","2012-09-20","Página web de RENCAP ","2012-08-31 19:05:00","06"
393,"2012-04-08 02:40:00","Buenos Aires","San Miguel","Bella Vista","","","En el interior del local - En el acceso local - En las proximidades del local","Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa - Policias","Agresión verbal - Agresión física","","Desestimado","2012-09-18","Página web de RENCAP ","2012-08-31 19:18:00","06"
394,"2012-02-09 02:00:00","Buenos Aires","Lanús","Lanús","Por aspecto físico - Por indumentaria","","","","","","Derivado","2012-09-20","Página web de RENCAP ","2012-09-02 16:03:00","06"
395,"2012-01-09 02:00:00","Buenos Aires","Tres de Febrero","Lomas del Palomar","Por indumentaria - Por ideologia","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el acceso local","Controladores","Agresión verbal - Agresión física","","Derivado","2012-09-07","Página web de RENCAP ","2012-09-03 12:54:00","06"
396,"2012-01-09 03:30:00","Misiones","Posadas","POSADAS","Por orientacion sexual","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el interior del local","Controladores - Policias","Agresión física","","Derivado","2012-10-02","Página web de RENCAP ","2012-09-08 00:02:00","54"
397,"2012-08-09 20:40:00","Tierra del Fuego","Ushuaia","USHUAIA","Por aspecto físico - Por indumentaria","","En el interior del local - En el acceso local","Personal de empresas de seguridad - Policias","Agresión verbal - Agresión física","Se solicitó asistencia policial","Desestimado","2012-09-20","Página web de RENCAP ","2012-09-10 11:45:00","94"
398,"2012-09-09 07:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","","En el interior del local","Personal de empresas de seguridad","Agresión física","Se hizo denuncia policial","Derivado","2012-09-11","Página web de RENCAP ","2012-09-10 14:57:00","02"
399,"2012-02-09 01:20:00","Santa Fe","Santa Fe","Santa Fe","Por aspecto físico - Por indumentaria - Racial","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el acceso local","Personal de empresas de seguridad","","Se solicitó asistencia policial","Derivado","2012-09-21","Página web de RENCAP ","2012-09-19 15:44:00","82"
400,"2012-09-09 04:30:00","Buenos Aires","La Matanza","Gonzalez Catán","","","En el interior del local - En el acceso local","Controladores","Agresión física","","Derivado","2012-10-01","Call Center","2012-09-21 10:00:00","06"
401,"2012-09-22 02:00:00","Buenos Aires","General San Martín","Gral. San Martín","Por indumentaria","No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia - Presencia de menores","En el acceso local","Personas vinculadas a la empresa","Agresión verbal","","Derivado","2012-09-27","Página web de RENCAP ","2012-09-22 21:32:00","06"
402,"2012-08-09 01:00:00","Ciudad Autónoma de Buenos Aires","Barrio Villa del Parque","","Por aspecto físico - Por indumentaria","","","","","","Derivado","2012-09-26","Página web de RENCAP ","2012-09-23 21:47:00","02"
403,"2012-01-09 00:01:00","Ciudad Autónoma de Buenos Aires","Barrio Villa Urquiza","","Por aspecto físico","","En el acceso local","","","","Derivado","2012-10-01","Página web de RENCAP ","2012-09-27 15:16:00","02"
404,"2012-09-23 05:30:00","Buenos Aires","Quilmes","Quilmes","","","En el interior del local - En el acceso local","Controladores","Agresión física","","Derivado","2012-10-02","Call Center","2012-09-28 12:08:00","06"
405,"2012-01-09 23:30:00","Tucumán","San Miguel de Tucumán","SAN MIGUEL DE TUCUMAN","Por aspecto físico - Por indumentaria","","En el acceso local","Personal de empresas de seguridad - Policias","Agresión física","","Derivado","2012-10-05","Página web de RENCAP ","2012-09-28 15:16:00","90"
